Ntime,Time,Open Price,Closing Price,High price,Low Price,Volume,MACD,CCI,ATR,BOLL_MID,EMA20,MA5,MA10,MTM6,MTM12,ROC,SMI,WVAD,US dollar Index,Federal Fund Rate
20130412,735336,14865.14,14865.06,14865.21,14790.57,119568625,147.8775802,156.4397095,74.64,14552.83154,14592.84955,14763.876,14677.595,203.05,417.31,2.88840823,0.019657506,5385590.983,82.1,0.15
20130415,735339,14865.06,14599.2,14865.06,14598.58,161682099,130.5345203,38.64127959,266.48,14563.205,14593.45435,14761.02,14680.23,48.85,39.55,0.271641145,-0.00428386,3134985.765,82.3,0.15
20130416,735340,14599.2,14756.78,14761.73,14599.2,126314811,128.0295643,43.33679346,162.53,14577.04,14609.00917,14777.684,14689.707,143.3,230.62,1.587618476,0.013988824,4317288.444,81.83,0.15
20130417,735341,14756.78,14618.59,14756.78,14560.81,168013694,113.5842619,-10.55056634,195.97,14583.62846,14609.92163,14740.954,14696.531,-54.87,40.05,0.274718868,0.000853708,3060872.915,82.65,0.15
20130418,735342,14618.59,14537.14,14650.26,14495.29,158054006,94.47487386,-80.69980185,154.97,14586.97769,14602.99005,14675.354,14689.634,-265.1,-41.4,-0.283979054,-0.001929936,1058330.556,82.56,0.15
20130419,735343,14537.14,14547.51,14553.73,14444.03,207202368,79.2537308,-110.8468443,109.7,14590.525,14597.70624,14611.844,14687.86,-317.63,-25.34,-0.173884998,-0.004514325,2741152.105,82.75,0.15
20130422,735346,14547.51,14567.17,14588.83,14457.6,146891911,67.99347648,-80.85035188,131.23,14591.60308,14594.79802,14605.438,14683.229,-297.89,-94.84,-0.646841736,-0.00724369,3593641.675,82.65,0.15
20130423,735347,14567.17,14719.46,14721.42,14554.29,137321957,70.54497551,9.664042585,167.13,14599.50115,14606.67059,14597.974,14687.829,120.26,169.11,1.162240084,-0.005592397,4810195.73,83,0.14
20130424,735348,14719.46,14676.3,14747.42,14666.54,138020852,68.2971189,28.94169626,80.88,14608.12577,14613.30196,14609.516,14675.235,-80.48,62.82,0.429877072,-0.012703547,3328800.623,82.95,0.13
20130425,735349,14676.3,14700.8,14768.05,14665.45,129604608,67.71207889,33.08284277,102.6,14617.54808,14621.63511,14642.248,14658.801,82.21,27.34,0.18632279,-0.011050073,4412697.283,82.78,0.13
20130426,735350,14700.8,14712.55,14743.49,14684.82,128911364,67.41938852,28.48920311,58.67,14625.27192,14630.29367,14675.256,14643.55,175.41,-89.69,-0.605921806,0.007704307,3737971.859,82.49,0.13
20130429,735353,14712.55,14818.75,14844.96,14712.55,97055347,74.89355546,86.81435606,132.41,14640.55115,14648.24189,14725.572,14665.505,281.61,16.51,0.111537173,0.004181864,4991940.116,82.14,0.13
20130430,735354,14818.75,14839.8,14839.8,14734.47,148246303,81.57509872,92.67957962,105.33,14653.15769,14666.48552,14749.64,14673.807,302.66,37.56,0.253745379,0.014906535,4343841.48,81.72,0.14
20130501,735355,14839.8,14700.95,14839.8,14687.05,112619408,74.80394204,50.67717011,152.75,14662.89615,14669.76785,14754.57,14682.043,163.81,-101.29,-0.684288324,0.011142817,3578561.729,81.62,0.14
20130502,735356,14700.95,14831.58,14834.63,14700.95,91177745,79.06706495,100.0074879,133.68,14673.355,14685.17853,14780.726,14711.487,284.07,-33.56,-0.225763094,0.01915305,3216198.122,82.23,0.15
20130503,735357,14831.58,14973.96,15009.59,14831.58,119891253,92.86401806,188.4385114,178.01,14690.57808,14712.68153,14833.008,14754.132,406.79,108.9,0.732590383,0.027166494,4245189.147,82.08,0.14
20130506,735360,14973.96,14968.89,14988.87,14941.09,116156315,102.2108729,161.1348394,47.78,14705.59154,14737.08234,14863.036,14794.304,249.43,369.69,2.532262042,0.016663226,3335913.704,82.33,0.14
20130507,735361,14968.89,15056.2,15056.67,14968.89,117230708,115.3340113,156.613006,87.78,14724.18192,14767.4745,14906.316,14827.978,379.9,299.42,2.029033434,0.02523213,5401728.362,82.28,0.12
20130508,735362,15056.2,15105.12,15106.81,15021.87,113510238,128.2037748,151.2185258,84.94,14741.22462,14799.63121,14987.15,14870.86,404.32,486.53,3.328159556,0.026767083,5380116.501,81.9,0.12
20130509,735363,15105.12,15082.62,15144.83,15046.87,97844044,135.0310395,127.4142059,97.96,14761.69654,14826.58252,15037.358,14909.042,370.07,545.48,3.75231992,0.024536188,5467770.373,82.68,0.12
20130510,735364,15082.62,15118.49,15118.49,15038.18,98980140,141.7026452,105.465395,80.31,14781.40346,14854.38324,15066.264,14949.636,286.91,570.98,3.924932858,0.019826054,5465092.185,83.1,0.12
20130513,735367,15113.42,15091.68,15113.42,15053.46,94281255,143.1761523,87.96584561,65.03,14801.65077,14876.98293,15090.822,14976.929,117.72,524.51,3.600630733,0.016689991,4469446.884,83.2,0.12
20130514,735368,15092.15,15215.25,15219.55,15089.3,124592281,152.5564083,112.2449934,130.25,14824.79577,14909.19884,15122.632,15014.474,246.36,495.79,3.368262151,0.033801614,4633920.351,83.62,0.11
20130515,735369,15211.87,15275.69,15301.34,15175.39,124027037,162.9885016,128.7191484,125.95,14847.95846,14944.10276,15156.746,15071.948,219.49,599.39,4.08406751,0.029072991,4372151.771,83.79,0.12
